URL checker started: base=https://api.crm.luminartechnolab.com, concurrency=10, timeout=5000ms
[68] https://api.crm.luminartechnolab.com/Extension -> 404 NOTFOUND/CLIENT (223ms)
[65] https://api.crm.luminartechnolab.com/include -> 404 NOTFOUND/CLIENT (225ms)
[72] https://api.crm.luminartechnolab.com/common -> 404 NOTFOUND/CLIENT (220ms)
[71] https://api.crm.luminartechnolab.com/webalizer -> 404 NOTFOUND/CLIENT (220ms)
[73] https://api.crm.luminartechnolab.com/logs -> 404 NOTFOUND/CLIENT (221ms)
[74] https://api.crm.luminartechnolab.com/search -> 404 NOTFOUND/CLIENT (221ms)
[76] https://api.crm.luminartechnolab.com/dialogs -> 404 NOTFOUND/CLIENT (219ms)
[80] https://api.crm.luminartechnolab.com/winnt -> 404 NOTFOUND/CLIENT (220ms)
[79] https://api.crm.luminartechnolab.com/INSTALL -> 404 NOTFOUND/CLIENT (220ms)
[77] https://api.crm.luminartechnolab.com/src -> 404 NOTFOUND/CLIENT (221ms)
[78] https://api.crm.luminartechnolab.com/cfdocs -> 404 NOTFOUND/CLIENT (222ms)
[75] https://api.crm.luminartechnolab.com/customer -> 404 NOTFOUND/CLIENT (224ms)
[82] https://api.crm.luminartechnolab.com/rvtheme -> 404 NOTFOUND/CLIENT (253ms)
[81] https://api.crm.luminartechnolab.com/rvtheme_admin -> 404 NOTFOUND/CLIENT (256ms)
[83] https://api.crm.luminartechnolab.com/default_admin -> 404 NOTFOUND/CLIENT (256ms)
[84] https://api.crm.luminartechnolab.com/default1 -> 404 NOTFOUND/CLIENT (220ms)
[86] https://api.crm.luminartechnolab.com/Entries -> 404 NOTFOUND/CLIENT (220ms)
[90] https://api.crm.luminartechnolab.com/internals -> 404 NOTFOUND/CLIENT (220ms)
[89] https://api.crm.luminartechnolab.com/locale -> 404 NOTFOUND/CLIENT (222ms)
[87] https://api.crm.luminartechnolab.com/10 -> 404 NOTFOUND/CLIENT (222ms)
[88] https://api.crm.luminartechnolab.com/treeNav -> 404 NOTFOUND/CLIENT (223ms)
[85] https://api.crm.luminartechnolab.com/LICENSE -> 404 NOTFOUND/CLIENT (250ms)
